game_id,date,month,day_of_week,hour,start_time,end_time,my_color,my_rating,opp_rating,rating_diff,result,win,loss,draw,opening,my_accuracy,opp_accuracy,moves
11,2026-01-09,January,Friday,15,,2026-01-09 15:52:29,black,527,442,85,win,1,0,0,Kings Pawn Opening 1...e5,62.2,44.18,1. e4 1... e5 2. c3 2... Nc6 3. Bc4 3... Qe7 4. b3 4... a6 5. Nf3 5... b5 6. Bd5 6... Qf6 7. d3 7... Nge7 8. Bg5 8... Qg6 9. Bh4 9... d6 10. c4 10... Bg4 11. Nbd2 11... O-O-O 12. h3 12... Bh5 13. Ng5 13... Bxd1 14. Nxf7 14... Qxg2 15. Be6+ 15... Kb8 16. Rxd1 16... Qxh1+ 17. Ke2 17... Nd4+ 18. Ke3 18... Qxd1 19. Bg4 19... Qe1+ 20. Be2 20... Nc2+ 21. Kf3 21... Nd4+ 22. Ke3 22... Nxe2 23. Nxd8 23... Nd4#
10,2026-01-09,January,Friday,0,,2026-01-09 00:12:18,white,519,562,-43,loss,0,1,0,Kings Pawn Opening Kings Knight Variation,57.89,67.34,1. e4 1... e5 2. Nf3 2... Bd6 3. d4 3... exd4 4. Nxd4 4... Nf6 5. Qe2 5... O-O 6. f3 6... Nh5 7. e5 7... Nf4 8. Qe3 8... Nd5 9. Qe4 9... c5 10. exd6 10... Qe8 11. Bc4 11... Nf6 12. Qe3 12... cxd4 13. Qe2 13... Nc6 14. O-O 14... b5 15. Bxb5 15... Bb7 16. Re1 16... Qe6 17. Qf2 17... Qxd6 18. Qg3 18... Qxg3 19. hxg3 19... Rfe8 20. Rf1 20... a6 21. Bc4 21... h6 22. Nd2 22... d5 23. Bb3 23... Na5 24. Ba4 24... Bc6 25. Bxc6 25... Nxc6 26. g4 26... g5 27. Nb3 27... a5 28. c3 28... dxc3 29. bxc3 29... h5 30. Bxg5 30... Kg7 31. gxh5 31... Nxh5 32. f4 32... a4 33. Nc5 33... Ra5 34. Rfe1 34... Rxe1+ 35. Rxe1 35... Rxc5 36. f5 36... f6 37. Bh4 37... Rxc3 38. g4 38... Nf4 39. g5 39... Rh3 40. gxf6+ 40... Kf7 41. Bg5 41... Rg3+ 42. Kf1 42... Rxg5 43. Re6 43... Nd4 44. Re7+ 44... Kxf6 45. Ra7 45... Rxf5 46. Rxa4 46... Nde6 47. Rb4 47... Nd3+ 48. Rf4 48... Ndxf4
12,2026-01-12,January,Monday,1,,2026-01-12 01:56:13,black,517,529,-12,loss,0,1,0,Van t Kruijs Opening 1...e5,44.38,58.79,1. e3 1... e5 2. Qf3 2... Nc6 3. Bc4 3... Qe7 4. Nh3 4... d6 5. Ng5 5... Be6 6. Bxe6 6... fxe6 7. Ne4 7... O-O-O 8. Nec3 8... Nb4 9. Qd1 9... d5 10. a3 10... Nc6 11. Na4 11... Nf6 12. c3 12... Qf7 13. Qb3 13... Ng4 14. f3 14... Nf6 15. Nc5 15... b6 16. Na6 16... Na5 17. Qb5 17... c6 18. Qa4 18... Be7 19. b4 19... b5 20. Qc2 20... Kb7 21. Nc5+ 21... Kb8 22. bxa5 22... Bxc5 23. d4 23... exd4 24. exd4 24... Bd6 25. Bg5 25... Rhe8 26. g4 26... e5 27. O-O 27... exd4 28. cxd4 28... Rc8 29. Nc3 29... c5 30. Nxb5 30... cxd4 31. Qb1 31... Qe6 32. Nxd6+ 32... Ka8 33. Qb7#
13,2026-01-18,January,Sunday,23,,2026-01-18 23:24:58,black,530,575,-45,win,1,0,0,Kings Pawn Opening 1...e5,57.45,45.29,1. e4 1... e5 2. Qh5 2... Nf6 3. Qxe5+ 3... Be7 4. Qg5 4... Nxe4 5. Qxg7 5... Bf6 6. Qg4 6... Qe7 7. d3 7... Nxf2+ 8. Kxf2 8... Nc6 9. g3 9... d6 10. Bg2 10... Bxg4 11. Bxc6+
14,2026-01-19,January,Monday,0,,2026-01-19 00:15:01,white,538,455,83,win,1,0,0,Ponziani Opening Jaenisch Counterattack 4.d4 Nxe4,,,1. e4 1... e5 2. Nf3 2... Nc6 3. c3 3... Nf6 4. d4 4... Nxe4 5. Qe2 5... f5 6. Nxe5 6... Qf6 7. Nd2 7... Nxe5 8. Nxe4 8... fxe4 9. dxe5 9... Qxe5 10. f4 10... Qd5 11. c4 11... Qd4 12. Be3 12... Qf6 13. O-O-O 13... Bd6 14. g3 14... O-O 15. Bd4 15... Qe6 16. Re1 16... c5 17. Be3 17... b5 18. Rd1 18... Ba6 19. Kb1 19... bxc4 20. Qd2 20... c3 21. Qxd6 21... Qxd6 22. Rxd6 22... Bxf1 23. Rxf1 23... cxb2 24. Bxc5 24... Rab8 25. Bd4 25... Rf7 26. Bxa7 26... Rb7 27. Bd4 27... Kf8 28. Bxb2 28... Ke7 29. Rd4 29... d6 30. Rxe4+ 30... Kd7 31. Ka1 31... d5 32. Rd4 32... Ke6 33. Re1+ 33... Kd6 34. Ba3+ 34... Kc6 35. Rc1+ 35... Kb5 36. Rxd5+ 36... Ka4 37. Bb2 37... Rb4 38. a3 38... Rb3 39. Rc4+ 39... Rb4 40. axb4 40... Kb3 41. Rc3+ 41... Kxb4 42. Rd4+
15,2026-01-22,January,Thursday,19,,2026-01-22 19:54:07,white,529,581,-52,loss,0,1,0,Scandinavian Defense,76.55,85.94,1. e4 1... d5 2. d3 2... dxe4 3. Be2 3... exd3 4. Qxd3 4... Qxd3 5. cxd3 5... b6 6. f3 6... Bb7 7. Bf4 7... Na6 8. Nd2 8... f6 9. O-O-O 9... e5 10. Bg3 10... Bc5 11. d4 11... Bxd4 12. Bb5+ 12... c6 13. Bxa6 13... Bxa6 14. f4 14... Nh6 15. fxe5 15... Bxe5 16. Re1 16... O-O 17. Bf2 17... Rad8 18. Ngf3 18... Bf4 19. Be3 19... Bxe3 20. Rxe3 20... Rd3 21. Rhe1 21... Rd7 22. Re6 22... c5 23. Ne4 23... Bc4 24. Rd6 24... Rxd6 25. Nxd6 25... Bd5 26. Re8 26... Rxe8 27. Nxe8 27... Bxa2 28. h3 28... Bd5
16,2026-01-22,January,Thursday,20,,2026-01-22 20:35:21,black,522,646,-124,loss,0,1,0,Scandinavian Defense Closed 2...dxe4 3.Nxe4,67.77,78.93,1. e4 1... d5 2. Nc3 2... dxe4 3. Nxe4 3... Qd5 4. d3 4... Bf5 5. f3 5... Nc6 6. b3 6... O-O-O 7. Bb2 7... e6 8. Qd2 8... Bxe4 9. fxe4 9... Qd6 10. O-O-O 10... e5 11. Nf3 11... f6 12. Be2 12... Nh6 13. Qe3 13... Ng4 14. Qg1 14... Qc5 15. c4 15... Nf2 16. d4 16... exd4 17. Qxf2 17... d3 18. Qxc5 18... Bxc5 19. Rxd3 19... Ne5 20. Rxd8+ 20... Rxd8 21. Nxe5 21... Be3+ 22. Kb1 22... fxe5 23. Bxe5 23... Rd2 24. Re1 24... Bf2 25. Rd1 25... Rxe2 26. Bxg7 26... Rxe4 27. Bf6 27... c6 28. h3 28... Re2 29. g4 29... c5 30. h4 30... Re8 31. h5 31... Rg8 32. g5 32... h6 33. gxh6 33... b5 34. h7 34... Bd4 35. hxg8=Q+ 35... Kb7 36. Bxd4 36... cxd4 37. Rxd4 37... Ka6 38. cxb5+ 38... Kxb5 39. Qd5+ 39... Kb6 40. h6
17,2026-01-23,January,Friday,1,,2026-01-23 01:34:50,black,531,470,61,win,1,0,0,Queens Pawn Opening 1...d5,,,1. d4 1... d5 2. a3 2... f6 3. f4 3... Nc6 4. Nc3 4... e5 5. e4 5... Nxd4 6. Nxd5 6... c6 7. Qd3 7... Bc5 8. fxe5 8... cxd5 9. exd5 9... Qxd5 10. Nf3 10... Nxf3+ 11. Ke2 11... Be6 12. gxf3 12... Qxe5+ 13. Qe4 13... Qd6 14. Be3 14... Ne7 15. Bh3 15... Bxh3 16. Rhg1 16... O-O 17. Rg3 17... Bd7 18. Qh4 18... Nf5 19. Qe4 19... Nxg3+ 20. hxg3 20... Bb5+ 21. Kf2 21... Bxe3+ 22. Kxe3 22... Bc6 23. Qc4+ 23... Kh8 24. f4 24... Rae8+ 25. Kf2 25... Qd2+ 26. Kf1 26... Bg2+ 27. Kg1 27... Qe3+ 28. Kxg2 28... Qd2+ 29. Kf3 29... Rd8 30. Ke4 30... Rfe8+ 31. Kf5 31... Qg2 32. Kg4 32... Qd5 33. b3 33... Qxc4 34. bxc4 34... Rd4 35. c3 35... h5+ 36. Kxh5 36... Rxc4 37. Kg6 37... Rxc3 38. Rd1 38... Rxg3+ 39. Kf5 39... Rxa3 40. Rd6 40... b5 41. Kg6 41... b4 42. f5 42... b3 43. Rd1 43... b2 44. Rf1 44... Ra1 45. Kf7 45... Rxf1 46. Kxe8 46... b1=Q 47. Ke7 47... Rxf5 48. Ke6 48... Qe4+ 49. Kf7 49... a5 50. Kg6 50... a4 51. Kf7 51... g6 52. Kxg6 52... Qg4+ 53. Kf7 53... Qh5+ 54. Ke6 54... Re5+ 55. Kxf6 55... Rf5+ 56. Ke7 56... Re5+ 57. Kd7 57... a3 58. Kc6 58... a2 59. Kd6 59... a1=Q 60. Kc6 60... Qa7 61. Kd6 61... Qa6+ 62. Kd7 62... Qh7+ 63. Kd8 63... Qe7#
18,2026-01-23,January,Friday,16,,2026-01-23 16:45:18,black,540,504,36,win,1,0,0,Kings Fianchetto Opening 1...e5 2.Bg2 Nf6,45.2,54.89,1. g3 1... e5 2. Bg2 2... Nf6 3. Nc3 3... c6 4. b3 4... Bc5 5. e3 5... O-O 6. Na4 6... Qe7 7. Qe2 7... Na6 8. Bb2 8... b5 9. Nc3 9... b4 10. Ne4 10... d5 11. Nxf6+ 11... Qxf6 12. Nh3 12... Be6 13. Qxa6 13... Bc8 14. Qe2 14... d4 15. exd4 15... Bxd4 16. Bxd4 16... exd4 17. Kd1 17... c5 18. Rg1 18... Rb8
19,2026-01-23,January,Friday,17,,2026-01-23 17:25:02,white,530,543,-13,loss,0,1,0,Ponziani Opening Jaenisch Counterattack 4.d4 exd4,,,1. e4 1... e5 2. Nf3 2... Nc6 3. c3 3... Nf6 4. d4 4... exd4 5. cxd4 5... d5 6. e5 6... Nh5 7. Bg5 7... f6 8. exf6 8... gxf6 9. Bh4 9... Nf4 10. g3 10... Ne6 11. Qe2 11... Be7 12. Nbd2 12... Nexd4 13. Nxd4 13... Nxd4 14. Qh5+ 14... Kf8 15. Bd3 15... Qe8 16. Qxd5 16... Bb4+ 17. Be4 17... Nc2+ 18. Kf1 18... Nxa1 19. Nf3 19... Nc2 20. Bxc2 20... Bg4 21. Qd4 21... Bxf3 22. Qxb4+ 22... Kg7 23. Qc3 23... Bxh1 24. Bxf6+ 24... Kf7 25. Bb3+ 25... Kf8 26. Bxh8 26... Qb5+ 27. Kg1 27... Bd5 28. Bxd5 28... Qxd5 29. Qxc7 29... Qd1+ 30. Kg2 30... Qd5+ 31. Kg1 31... Qxa2 32. Qxb7 32... Re8 33. Qxh7 33... Re1+ 34. Kg2 34... Qd5+ 35. Kh3 35... Re7 36. Bf6 36... Rxh7+ 37. Kg4 37... Qe6+
21,2026-01-24,January,Saturday,21,,2026-01-24 21:56:45,white,550,513,37,win,1,0,0,Kings Pawn Opening Kings Knight Variation,,,1. e4 1... e5 2. Nf3 2... f6 3. Bc4 3... d6 4. d4 4... Nc6 5. d5 5... Nb8 6. Nc3 6... a6 7. Be3 7... g5 8. Nd2 8... g4 9. h3 9... h5 10. hxg4 10... Bxg4 11. f3 11... Bd7 12. g4 12... Ne7 13. gxh5 13... Ng6 14. Qe2 14... Nf4 15. Bxf4 15... exf4 16. O-O-O 16... b5 17. Bd3 17... c6 18. dxc6 18... Nxc6 19. Nd5 19... Nd4 20. Qg2 20... Bh6 21. Qg6+ 21... Kf8 22. Rdg1 22... Bg5 23. h6 23... Bc6 24. Qg7+ 24... Ke8 25. Qxh8+ 25... Kd7 26. Qg7+ 26... Kc8 27. h7 27... Qd7 28. h8=Q+ 28... Kb7 29. Qxd7+ 29... Bxd7 30. Qg7 30... Kc6 31. Nxf6 31... Bxf6 32. Qxf6 32... Be6 33. Qxd4 33... Bxa2 34. Rh6 34... Rd8 35. e5 35... Bd5 36. e6 36... Re8 37. Be4 37... Bxe4 38. Qxe4+ 38... Kc5 39. Rg5+ 39... Kb6 40. Qd4+ 40... Kc7 41. Rg7+ 41... Kc8 42. Qxd6 42... Rd8 43. Qc7#
20,2026-01-24,January,Saturday,21,,2026-01-24 21:25:10,white,541,585,-44,win,1,0,0,Italian Game,92.65,84.79,1. e4 1... e5 2. Nf3 2... Nc6 3. Bc4 3... a6 4. d3 4... b5 5. Bd5 5... Rb8 6. Ng5 6... Nh6 7. Qf3 7... f6 8. Nh3 8... Nd4 9. Qd1 9... c6 10. Bb3 10... d6 11. Bxh6 11... Bg4 12. Qxg4 12... Nxc2+ 13. Bxc2 13... gxh6 14. Qh5+ 14... Kd7 15. O-O 15... Rg8 16. Qf7+ 16... Kc8 17. Qxg8 17... Rb7 18. Qg4+ 18... Kb8 19. Nc3 19... Rg7 20. Qf5 20... Qe8 21. Qxf6 21... Kb7 22. b4 22... Qg6 23. Qxg6 23... Rxg6 24. a4 24... bxa4 25. Bxa4 25... d5 26. exd5 26... Bxb4 27. Bxc6+ 27... Kc7 28. Ne4 28... a5 29. Rac1 29... Ba3 30. Be8+ 30... Kb6 31. Rc6+ 31... Rxc6 32. dxc6 32... Kc7 33. Ra1 33... Bb4 34. Nf6 34... Kb6 35. Nd5+ 35... Kc5 36. Nxb4 36... Kxb4 37. c7 37... a4 38. c8=Q 38... Kb3 39. Rb1+ 39... Ka2 40. Qc2+ 40... Ka3 41. Qb2#
22,2026-01-25,January,Sunday,13,,2026-01-25 13:32:23,white,541,546,-5,loss,0,1,0,Italian Game Two Knights Modern Bishops Opening 4...d5 5.exd5 Nxd5,61.37,77.39,1. e4 1... e5 2. Nf3 2... Nc6 3. Bc4 3... Nf6 4. d3 4... d5 5. exd5 5... Nxd5 6. Nc3 6... Be6 7. Bg5 7... f6 8. Bh4 8... g5 9. Bg3 9... Nxc3 10. bxc3 10... Bxc4 11. dxc4 11... Bc5 12. O-O 12... Qd6 13. Re1 13... O-O-O 14. Nd4 14... Nxd4 15. cxd4 15... Bxd4 16. Rb1 16... Bc3 17. Re2 17... Qxd1+ 18. Rxd1 18... Rxd1+ 19. Re1 19... Rxe1#
23,2026-01-25,January,Sunday,14,,2026-01-25 14:03:57,black,533,561,-28,loss,0,1,0,Scotch Game,54.31,50.9,1. e4 1... e5 2. Nf3 2... Nc6 3. d4 3... Bb4+ 4. c3 4... Bd6 5. dxe5 5... Bxe5 6. Bg5 6... f6 7. Bh4 7... g5 8. Nxe5 8... Nxe5 9. Qh5+ 9... Nf7 10. Bc4 10... Qe7 11. Bxf7+ 11... Kd8 12. O-O 12... Qxe4 13. Nd2 13... Qxh4 14. Qe2 14... Nh6 15. Rfe1 15... c6 16. Qe7+ 16... Kc7 17. Be6 17... b6 18. Bxd7 18... Rd8 19. Bxc8+ 19... Kxc8 20. Qe6+ 20... Kb8 21. Qxf6 21... Rxd2 22. Re8+ 22... Kb7 23. g3
24,2026-01-25,January,Sunday,14,,2026-01-25 14:36:10,white,526,585,-59,loss,0,1,0,Italian Game,,,1. e4 1... e5 2. Nf3 2... Nc6 3. Bc4 3... f6 4. c3 4... Nge7 5. d4 5... exd4 6. Nxd4 6... d6 7. Be6 7... Nxd4 8. Bxc8 8... Qxc8 9. Qxd4 9... Nc6 10. Qe3 10... Be7 11. Nd2 11... f5 12. exf5 12... Qxf5 13. Qf3 13... Qe5+ 14. Ne4 14... d5 15. Bf4 15... Qxe4+ 16. Qe3 16... Qxg2 17. O-O-O 17... O-O-O 18. Qg3 18... Qxg3 19. hxg3 19... d4 20. Rhe1 20... dxc3 21. bxc3 21... Bf6 22. Re3 22... Rxd1+ 23. Kxd1 23... Rd8+ 24. Ke1 24... g5 25. Re6 25... Bxc3+ 26. Kf1 26... gxf4 27. gxf4 27... Rd1+ 28. Kg2 28... Nd4 29. Re8+ 29... Kd7 30. Ra8 30... a6 31. f3 31... Bd2 32. Rf8 32... Be3 33. f5 33... Rg1+ 34. Kh3 34... Ke7 35. f6+ 35... Kxf8 36. Kh4
25,2026-01-26,January,Monday,18,,2026-01-26 18:42:57,white,533,475,58,win,1,0,0,Ruy Lopez Opening,,,1. e4 1... e5 2. Nf3 2... Nc6 3. Bb5 3... Qf6 4. c3 4... a6 5. Ba4 5... d6 6. h3 6... Qf4 7. d4 7... exd4 8. Bxf4 8... dxc3 9. Nxc3 9... Bf5 10. exf5
